t;profil 
1;0.704629879
2;0.7
3;0.689421265
4;0.686325707
5;0.682664872
6;0.681803499
7;0.682799462
8;0.681184388
9;0.676904441
10;0.675935397
11;0.673405114
12;0.677012113
13;0.685356662
14;0.684172275
15;0.6930821
16;0.702449529
17;0.715908479
18;0.723553163
19;0.737469717
20;0.75615074
21;0.787590848
22;0.820403769
23;0.852516824
24;0.874454913
25;0.900349933
26;0.916016151
27;0.933189771
28;0.947671602
29;0.957604307
30;0.962664872
31;0.964306864
32;0.968613728
33;0.966837147
34;0.970551817
35;0.976312248
36;0.980403769
37;0.97935397
38;0.984145357
39;0.992193809
40;0.993432032
41;0.988371467
42;0.986864065
43;0.995020188
44;1
45;0.996904441
46;0.999057873
47;0.993620458
48;0.986756393
49;0.981130552
50;0.974751009
51;0.970417227
52;0.966864065
53;0.969771198
54;0.960188425
55;0.952866756
56;0.949125168
57;0.94807537
58;0.945464334
59;0.943391655
60;0.939111709
61;0.930632571
62;0.925652759
63;0.932570659
64;0.943930013
65;0.956123822
66;0.967294751
67;0.976635262
68;0.978411844
69;0.973001346
70;0.960538358
71;0.962126514
72;0.955908479
73;0.949636608
74;0.93795424
75;0.923014805
76;0.91935397
77;0.903391655
78;0.890444145
79;0.880188425
80;0.868775236
81;0.854374159
82;0.841345895
83;0.832462988
84;0.822987887
85;0.821588156
86;0.812247645
87;0.798142665
88;0.78102288
89;0.766648721
90;0.751897712
91;0.737658143
92;0.727294751
93;0.720753701
94;0.710740242
95;0.69781965
96;0.683660834
